Município;Total;UF;Data
ABAIRA;2;BA;02/03/2020
ABARE;1;BA;02/03/2020
ACAJUTIBA;6;BA;02/03/2020
ADUSTINA;6;BA;02/03/2020
AGUA FRIA;5;BA;02/03/2020
ALAGOINHAS;509;BA;02/03/2020
ALCOBACA;4;BA;02/03/2020
ALMADINA;3;BA;02/03/2020
AMARGOSA;35;BA;02/03/2020
AMELIA RODRIGUES;30;BA;02/03/2020
AMERICA DOURADA;9;BA;02/03/2020
ANAGE;1;BA;02/03/2020
ANDARAI;6;BA;02/03/2020
ANDORINHA;11;BA;02/03/2020
ANGICAL;8;BA;02/03/2020
ANGUERA;8;BA;02/03/2020
ANTAS;4;BA;02/03/2020
ANTONIO CARDOSO;2;BA;02/03/2020
ANTONIO GONCALVES;7;BA;02/03/2020
APORA;16;BA;02/03/2020
APUAREMA;1;BA;02/03/2020
ARACAS;5;BA;02/03/2020
ARACATU;4;BA;02/03/2020
ARACI;14;BA;02/03/2020
ARAMARI;7;BA;02/03/2020
ARATUIPE;10;BA;02/03/2020
AURELINO LEAL;9;BA;02/03/2020
BAIANOPOLIS;12;BA;02/03/2020
BAIXA GRANDE;23;BA;02/03/2020
BANZAE;1;BA;02/03/2020
BARRA;45;BA;02/03/2020
BARRA DA ESTIVA;17;BA;02/03/2020
BARRA DO CHOCA;19;BA;02/03/2020
BARRA DO MENDES;3;BA;02/03/2020
BARRA DO ROCHA;4;BA;02/03/2020
BARREIRAS;444;BA;02/03/2020
BARRO ALTO;4;BA;02/03/2020
BARRO PRETO;4;BA;02/03/2020
BARROCAS;33;BA;02/03/2020
BELMONTE;16;BA;02/03/2020
BELO CAMPO;6;BA;02/03/2020
BIRITINGA;5;BA;02/03/2020
BOA VISTA DO TUPIM;5;BA;02/03/2020
BOM JESUS DA LAPA;87;BA;02/03/2020
BONINAL;3;BA;02/03/2020
BONITO;5;BA;02/03/2020
BOQUIRA;1;BA;02/03/2020
BOTUPORA;10;BA;02/03/2020
BREJOES;5;BA;02/03/2020
BREJOLANDIA;3;BA;02/03/2020
BROTAS DE MACAUBAS;2;BA;02/03/2020
BRUMADO;68;BA;02/03/2020
BUERAREMA;14;BA;02/03/2020
BURITIRAMA;1;BA;02/03/2020
CABACEIRAS DO PARAGUACU;4;BA;02/03/2020
CACHOEIRA;27;BA;02/03/2020
CACULE;15;BA;02/03/2020
CAEM;6;BA;02/03/2020
CAETANOS;2;BA;02/03/2020
CAETITE;47;BA;02/03/2020
CAFARNAUM;6;BA;02/03/2020
CAIRU;7;BA;02/03/2020
CALDEIRAO GRANDE;5;BA;02/03/2020
CAMACAN;35;BA;02/03/2020
CAMACARI;1332;BA;02/03/2020
CAMAMU;14;BA;02/03/2020
CAMPO ALEGRE DE LOURDES;6;BA;02/03/2020
CAMPO FORMOSO;44;BA;02/03/2020
CANAPOLIS;4;BA;02/03/2020
CANARANA;15;BA;02/03/2020
CANAVIEIRAS;36;BA;02/03/2020
CANDEAL;3;BA;02/03/2020
